task_idx,accepted,nc1,nc2,nc3,nc4,isotropy,equinormity,accuracy,epochs_trained
0,1,0.2582845389842987,0.1944202035665512,0.11256804317235947,0.9925,0.14197660982608795,0.132822647690773,1.0,25
1,1,0.2639014720916748,0.15512166917324066,0.09084303677082062,0.992,0.14970792829990387,0.04062347114086151,1.0,50
2,1,0.25174203515052795,0.20604290068149567,0.11296264082193375,0.996,0.16575181484222412,0.12239285558462143,1.0,20
3,1,0.2579316198825836,0.2221277505159378,0.13902734220027924,0.9935,0.12340681999921799,0.18469297885894775,1.0,40
4,1,0.2357902079820633,0.24648937582969666,0.10179462283849716,0.9915,0.16082435846328735,0.1867954432964325,1.0,55
5,1,0.22924008965492249,0.21062971651554108,0.13341005146503448,0.993,0.138833150267601,0.15839897096157074,1.0,60
6,1,0.24914979934692383,0.2430868148803711,0.11554371565580368,0.9935,0.23665985465049744,0.05552760139107704,1.0,35
7,1,0.2795892059803009,0.20750825107097626,0.1059587374329567,0.992,0.14321249723434448,0.1501661092042923,1.0,100
8,1,0.2729898989200592,0.2053232491016388,0.14283901453018188,0.9925,0.15193389356136322,0.13810765743255615,1.0,50
9,1,0.28541138768196106,0.20639869570732117,0.11761633306741714,0.995,0.19017983973026276,0.08020004630088806,1.0,100
10,1,0.2489815205335617,0.21544893085956573,0.1257369965314865,0.9935,0.17525461316108704,0.1253158450126648,1.0,40
11,1,0.2644166648387909,0.20451737940311432,0.10891062021255493,0.994,0.11128280311822891,0.17159107327461243,1.0,30
12,1,0.31668829917907715,0.16857348382472992,0.10480286180973053,0.993,0.13217420876026154,0.10462789237499237,0.999,25
13,1,0.3107965588569641,0.20804834365844727,0.09490174055099487,0.993,0.17652900516986847,0.11009824275970459,1.0,35
14,1,0.3656459152698517,0.15640178322792053,0.17315976321697235,0.969,0.11555233597755432,0.10540008544921875,1.0,100
15,1,0.2712654173374176,0.2124289721250534,0.13321495056152344,0.992,0.1374688744544983,0.16195176541805267,1.0,25
16,1,0.2341012805700302,0.2292463481426239,0.1472751647233963,0.9915,0.18494804203510284,0.1354551911354065,1.0,45
17,1,0.27800536155700684,0.21236155927181244,0.13783030211925507,0.9915,0.16521035134792328,0.13342776894569397,1.0,35
18,1,0.30402541160583496,0.26318827271461487,0.15378956496715546,0.991,0.21479272842407227,0.1520925611257553,1.0,70
19,1,0.2173457145690918,0.2941018342971802,0.15350739657878876,0.992,0.2789519727230072,0.09317553043365479,1.0,35
20,1,0.283216267824173,0.19897326827049255,0.12227234989404678,0.991,0.18071909248828888,0.0832524523139,0.9995,70
21,1,0.2571718692779541,0.3097658157348633,0.11489337682723999,0.9915,0.23675833642482758,0.19975073635578156,1.0,65
22,1,0.24902184307575226,0.32482069730758667,0.13296450674533844,0.9895,0.20356330275535583,0.2531214654445648,1.0,100
23,1,0.24782796204090118,0.316520094871521,0.1677914261817932,0.9915,0.21757037937641144,0.22988715767860413,1.0,45
24,1,0.3926675319671631,0.318226158618927,0.12929017841815948,0.9915,0.24203474819660187,0.20660848915576935,0.998,35
25,1,0.2829247713088989,0.17433452606201172,0.13378393650054932,0.9925,0.15829864144325256,0.07303468883037567,1.0,30
26,1,0.2915191054344177,0.26304155588150024,0.09881582111120224,0.9975,0.24984204769134521,0.08227881789207458,1.0,30
27,1,0.3281926214694977,0.3066081702709198,0.1794031411409378,0.981,0.24242037534713745,0.18772567808628082,1.0,100
28,1,0.2565635144710541,0.3052913546562195,0.15144497156143188,0.9905,0.24460318684577942,0.18268032371997833,1.0,45
29,1,0.24133257567882538,0.13651740550994873,0.11087775230407715,0.995,0.11214794963598251,0.07784497737884521,1.0,50
