task,nc1,nc2,nc3,nc3_max,nc3_min,nc4,isotropy,equinormity
0,0.5225030779838562,0.3640230894088745,0.242964506149292,0.3348989486694336,0.1923350691795349,0.9254999756813049,0.25053924322128296,0.26408880949020386
1,0.791193425655365,0.3125666677951813,0.201822429895401,0.25703132152557373,0.14413630962371826,0.8765000104904175,0.25468647480010986,0.18119798600673676
2,0.49056512117385864,0.28823480010032654,0.2825629413127899,0.3354431390762329,0.24668699502944946,0.9075000286102295,0.26433008909225464,0.11492999643087387
3,0.7722911834716797,0.5805004239082336,0.3247953951358795,0.4137783646583557,0.24985575675964355,0.8385000228881836,0.40943604707717896,0.41151291131973267
4,1.0397045612335205,0.5908499956130981,0.3765815794467926,0.4460431933403015,0.3002064824104309,0.8090000152587891,0.36860334873199463,0.461774080991745
5,0.6359031796455383,0.43471425771713257,0.3745494782924652,0.49055051803588867,0.305048406124115,0.8799999952316284,0.3352966606616974,0.27668145298957825
6,0.5499099493026733,0.30640918016433716,0.3878861963748932,0.5675230622291565,0.28501176834106445,0.8700000047683716,0.2793531119823456,0.12589052319526672
7,0.7781683802604675,0.5429056286811829,0.386033296585083,0.44754618406295776,0.3034290075302124,0.8535000085830688,0.33362624049186707,0.42829906940460205
8,0.6732134222984314,0.318360835313797,0.3600200116634369,0.46344518661499023,0.2996976971626282,0.8824999928474426,0.19512511789798737,0.25155478715896606
9,0.49135228991508484,0.24466471374034882,0.387285053730011,0.5004556179046631,0.29469233751296997,0.9144999980926514,0.18750996887683868,0.15716499090194702
10,0.5539098978042603,0.42678844928741455,0.3964955806732178,0.43993937969207764,0.3420952558517456,0.8895000219345093,0.2928294241428375,0.310482382774353
11,0.8016624450683594,0.43003207445144653,0.3878117501735687,0.4525250792503357,0.32181602716445923,0.8330000042915344,0.2593786418437958,0.3430019021034241
12,0.623026967048645,0.2289428412914276,0.4052589535713196,0.4856409430503845,0.2816120386123657,0.8884999752044678,0.1810847818851471,0.14008258283138275
13,0.6315595507621765,0.3172372877597809,0.36691489815711975,0.4488540291786194,0.30775022506713867,0.8535000085830688,0.20839525759220123,0.23918801546096802
14,0.6159059405326843,0.31212860345840454,0.44190168380737305,0.5250685811042786,0.372286319732666,0.8385000228881836,0.24224430322647095,0.19682978093624115
15,0.6262580752372742,0.33696839213371277,0.4037555754184723,0.49808067083358765,0.35046684741973877,0.859000027179718,0.2051769345998764,0.2673015594482422
16,0.5108705759048462,0.2517092525959015,0.5062761306762695,0.5412766337394714,0.4456210136413574,0.8809999823570251,0.19368469715118408,0.1607600450515747
17,0.45432549715042114,0.28993311524391174,0.4444289803504944,0.5586696863174438,0.3526638150215149,0.8955000042915344,0.15400654077529907,0.24564850330352783
18,0.6575844883918762,0.4286342263221741,0.493915855884552,0.5370422005653381,0.4124983549118042,0.8684999942779541,0.29600200057029724,0.31001633405685425
19,0.7046880722045898,0.4523952007293701,0.5234545469284058,0.5806812644004822,0.4596238136291504,0.8349999785423279,0.3977314531803131,0.21557162702083588
20,0.9117544293403625,0.3004988729953766,0.4948299527168274,0.621570885181427,0.4127168655395508,0.7710000276565552,0.20546157658100128,0.21928319334983826
21,0.6534275412559509,0.49756738543510437,0.4647636413574219,0.4930773973464966,0.43222296237945557,0.8644999861717224,0.47500619292259216,0.14812977612018585
22,0.5534294843673706,0.4114002287387848,0.49082303047180176,0.5165926218032837,0.4589378833770752,0.8815000057220459,0.2163095921278,0.3499433100223541
23,0.5220751762390137,0.32244229316711426,0.48398852348327637,0.5053519606590271,0.4591944217681885,0.8834999799728394,0.20176514983177185,0.25151512026786804
24,0.6619949340820312,0.42235156893730164,0.4879780411720276,0.5086714029312134,0.4540966749191284,0.9004999995231628,0.3304039537906647,0.2630856931209564
25,0.6066534519195557,0.3236832022666931,0.46724024415016174,0.49667060375213623,0.40441036224365234,0.8784999847412109,0.22981306910514832,0.22794026136398315
26,1.2408660650253296,0.48009857535362244,0.4234965443611145,0.4565480947494507,0.39474940299987793,0.7889999747276306,0.43097350001335144,0.21155725419521332
27,0.7877291440963745,0.42095670104026794,0.47843748331069946,0.5531666278839111,0.4147294759750366,0.8840000033378601,0.2767099440097809,0.31723201274871826
28,0.5459093451499939,0.4140876233577728,0.466177761554718,0.5016030073165894,0.42675602436065674,0.8924999833106995,0.34031006693840027,0.23591865599155426
29,0.6413467526435852,0.31358861923217773,0.4413253366947174,0.4824102520942688,0.4063767194747925,0.8684999942779541,0.18218852579593658,0.255235493183136
