task,slot,n_samples,mu_norm,centered_norm_mtk,"cos(W_k, m_tk)",nc3_sub,dist_to_slot_center
0,0,400,5.944952487945557,1.2393662929534912,0.7269389033317566,0.2730610966682434,0.6013253927230835
0,1,400,7.648545265197754,2.3000235557556152,0.44307607412338257,0.5569239258766174,2.0860509872436523
0,2,400,7.4561262130737305,2.5152647495269775,0.39392971992492676,0.6060702800750732,2.258430004119873
0,3,400,6.572655200958252,1.5051348209381104,0.6071425676345825,0.3928574323654175,1.0634512901306152
0,4,400,5.94873571395874,1.4814893007278442,0.5859391689300537,0.4140608310699463,0.8604546189308167
1,0,400,6.179250240325928,1.2417495250701904,0.6968806385993958,0.30311936140060425,0.6693946719169617
1,1,400,5.133026123046875,1.3340461254119873,0.5431717038154602,0.4568282961845398,1.0778928995132446
1,2,400,5.887308597564697,0.9989944100379944,0.7988210916519165,0.2011789083480835,0.5004229545593262
1,3,400,5.828497409820557,0.9483451843261719,0.8335651159286499,0.1664348840713501,0.4494304955005646
1,4,400,6.641378402709961,1.3281091451644897,0.6544320583343506,0.3455679416656494,0.7247838377952576
2,0,400,6.293326377868652,1.2567070722579956,0.7219942808151245,0.2780057191848755,0.6435520648956299
2,1,400,5.895595550537109,1.2613860368728638,0.6427531838417053,0.3572468161582947,0.9531919360160828
2,2,400,6.667750835418701,1.3607580661773682,0.656180739402771,0.343819260597229,1.0205026865005493
2,3,400,6.307685852050781,1.5097490549087524,0.5541958212852478,0.4458041787147522,1.1820276975631714
2,4,400,7.677725315093994,2.30107045173645,0.455715537071228,0.544284462928772,2.010227680206299
3,0,400,6.401206016540527,1.475574016571045,0.5608495473861694,0.43915045261383057,0.8946173191070557
3,1,400,5.370370864868164,1.6366043090820312,0.4638884365558624,0.5361115634441376,1.3904838562011719
3,2,400,6.091341018676758,1.3460296392440796,0.5898375511169434,0.41016244888305664,0.8888400793075562
3,3,400,5.833458423614502,0.9830759167671204,0.8219319581985474,0.17806804180145264,0.6327702403068542
3,4,400,5.906843662261963,1.0968562364578247,0.723895788192749,0.276104211807251,1.0651291608810425
4,0,400,5.759612083435059,1.2720667123794556,0.6415615677833557,0.3584384322166443,0.9335933923721313
4,1,400,5.68918514251709,0.999826967716217,0.7504974603652954,0.2495025396347046,0.5898396372795105
4,2,400,6.225702285766602,1.0601781606674194,0.7708172798156738,0.22918272018432617,0.529370903968811
4,3,400,6.48892068862915,1.4729007482528687,0.600939154624939,0.39906084537506104,1.1437841653823853
4,4,400,6.4866042137146,1.2855896949768066,0.6571401357650757,0.3428598642349243,0.8447329998016357
5,0,400,5.548638343811035,1.1031643152236938,0.7407464981079102,0.25925350189208984,0.7624332308769226
5,1,400,5.780900001525879,1.7771034240722656,0.3830016851425171,0.6169983148574829,1.5682178735733032
5,2,400,6.962530612945557,1.8903789520263672,0.4756447672843933,0.5243552327156067,1.5543612241744995
5,3,400,6.795310974121094,1.8518439531326294,0.5220888257026672,0.47791117429733276,1.4682135581970215
5,4,400,6.037601947784424,1.3485661745071411,0.5932306051254272,0.40676939487457275,1.4269057512283325
6,0,400,5.528319358825684,1.3546991348266602,0.6483446359634399,0.35165536403656006,1.0655864477157593
6,1,400,6.140476703643799,1.5351262092590332,0.5092853903770447,0.4907146096229553,1.0960489511489868
6,2,400,7.327125549316406,2.078604221343994,0.4637688100337982,0.5362311899662018,1.8216816186904907
6,3,400,5.228180408477783,1.2861850261688232,0.6044439077377319,0.39555609226226807,0.8273540735244751
6,4,400,6.303205966949463,1.9645155668258667,0.4536885619163513,0.5463114380836487,1.457723617553711
7,0,400,6.578988552093506,1.6078660488128662,0.597498893737793,0.40250110626220703,0.950574517250061
7,1,400,5.701323986053467,1.2275819778442383,0.6353724598884583,0.36462754011154175,0.9163697957992554
7,2,400,4.897298812866211,1.4778696298599243,0.43035486340522766,0.5696451365947723,1.2105653285980225
7,3,400,5.704079627990723,0.9261884689331055,0.8262103199958801,0.17378968000411987,0.48340973258018494
7,4,400,7.168015480041504,2.57770037651062,0.40228840708732605,0.597711592912674,1.9201476573944092
8,0,400,6.5120015144348145,1.2698578834533691,0.6315084099769592,0.36849159002304077,0.8274180293083191
8,1,400,4.687098979949951,1.8254399299621582,0.40823403000831604,0.591765969991684,1.7132195234298706
8,2,400,5.88332462310791,1.1931363344192505,0.6550933122634888,0.34490668773651123,0.8412798643112183
8,3,400,4.715938091278076,1.5187427997589111,0.45134270191192627,0.5486572980880737,1.2475340366363525
8,4,400,5.655612945556641,1.4463444948196411,0.5884990096092224,0.4115009903907776,0.9385480284690857
9,0,400,6.379471302032471,1.6655182838439941,0.5635495185852051,0.4364504814147949,1.0971851348876953
9,1,400,6.079233169555664,1.3631107807159424,0.5833210945129395,0.41667890548706055,0.8720077872276306
9,2,400,6.102128982543945,1.5873017311096191,0.5138576030731201,0.4861423969268799,1.2292560338974
9,3,400,5.228410243988037,1.5654549598693848,0.49899595975875854,0.5010040402412415,1.0739189386367798
9,4,400,6.406811714172363,2.269636392593384,0.4707697331905365,0.5292302668094635,1.5503343343734741
10,0,400,6.28615140914917,1.1401315927505493,0.7408409714698792,0.25915902853012085,0.5718759298324585
10,1,400,5.977014541625977,1.2512339353561401,0.6615688800811768,0.33843111991882324,0.797616720199585
10,2,400,6.230096340179443,1.6246238946914673,0.4947420060634613,0.5052579939365387,1.256507158279419
10,3,400,5.965312957763672,1.4328646659851074,0.5499886870384216,0.45001131296157837,1.0537588596343994
10,4,400,4.920588970184326,1.414405345916748,0.5030946135520935,0.4969053864479065,1.463956594467163
11,0,400,7.199134826660156,2.2654969692230225,0.4544134736061096,0.5455865263938904,1.7061553001403809
11,1,400,6.020758628845215,1.2808083295822144,0.6326686143875122,0.3673313856124878,0.7921648025512695
11,2,400,5.752483367919922,1.1882853507995605,0.6596841812133789,0.3403158187866211,0.6906129121780396
11,3,400,5.496057510375977,1.0504984855651855,0.6998356580734253,0.3001643419265747,0.8011078238487244
11,4,400,6.198155403137207,1.2865275144577026,0.7044793963432312,0.2955206036567688,0.6409913897514343
12,0,400,6.438145637512207,1.599073886871338,0.5931336879730225,0.40686631202697754,1.5671294927597046
12,1,400,6.013823986053467,1.0826921463012695,0.7404053807258606,0.2595946192741394,0.6214303374290466
12,2,400,5.752293586730957,1.215164303779602,0.6722252368927002,0.3277747631072998,0.7690767645835876
12,3,400,6.215412139892578,1.677575945854187,0.5155929327011108,0.48440706729888916,1.213867425918579
12,4,400,5.363063812255859,1.5689934492111206,0.5026376247406006,0.4973623752593994,1.7508816719055176
13,0,400,5.736510753631592,1.144158959388733,0.6865019798278809,0.31349802017211914,0.8449441194534302
13,1,400,6.1585493087768555,1.386594533920288,0.5935608148574829,0.4064391851425171,0.9069061279296875
13,2,400,6.481400966644287,1.2545069456100464,0.6919633150100708,0.3080366849899292,0.8532696962356567
13,3,400,5.355126857757568,1.3411751985549927,0.5722942352294922,0.4277057647705078,0.8032404780387878
13,4,400,5.824951648712158,1.4690232276916504,0.5806663036346436,0.41933369636535645,1.1065336465835571
14,0,400,5.7773590087890625,1.3645089864730835,0.6169998049736023,0.3830001950263977,0.9312565326690674
14,1,400,4.831724166870117,1.7000584602355957,0.48281130194664,0.51718869805336,1.4930732250213623
14,2,400,3.7054667472839355,2.6632444858551025,0.192128986120224,0.807871013879776,2.5680251121520996
14,3,400,6.14890718460083,1.2065582275390625,0.7175155282020569,0.2824844717979431,0.9957140684127808
14,4,400,5.851719379425049,0.9452238082885742,0.8828867077827454,0.11711329221725464,0.5440478324890137
15,0,400,6.096125602722168,1.3163390159606934,0.6384302377700806,0.36156976222991943,0.7123186588287354
15,1,400,4.896229267120361,2.1119563579559326,0.3928413391113281,0.6071586608886719,1.9832704067230225
15,2,400,5.5681939125061035,1.127786636352539,0.6791334748268127,0.32086652517318726,0.6116828918457031
15,3,400,6.203271865844727,1.2063910961151123,0.6753780841827393,0.32462191581726074,0.9315111041069031
15,4,400,6.398169994354248,1.8008192777633667,0.4739927053451538,0.5260072946548462,1.8767496347427368
16,0,400,6.327592849731445,1.378856897354126,0.6605342626571655,0.3394657373428345,0.677521288394928
16,1,400,5.426359176635742,1.505563735961914,0.5360615253448486,0.46393847465515137,1.1517750024795532
16,2,400,6.204969882965088,1.265765905380249,0.689883828163147,0.310116171836853,0.7777480483055115
16,3,400,6.480621814727783,1.8572691679000854,0.4613259732723236,0.5386740267276764,1.7966561317443848
16,4,400,7.472803115844727,2.6016714572906494,0.41212621331214905,0.587873786687851,1.9386569261550903
17,0,400,5.9776997566223145,1.1973779201507568,0.7521545886993408,0.24784541130065918,0.6926904320716858
17,1,400,5.642458438873291,1.3753386735916138,0.6151597499847412,0.3848402500152588,1.2098033428192139
17,2,400,5.405576229095459,2.0644872188568115,0.4039933383464813,0.5960066616535187,1.8256465196609497
17,3,400,6.253790855407715,1.3627995252609253,0.6505098342895508,0.3494901657104492,1.2371997833251953
17,4,400,5.9806742668151855,1.304837703704834,0.6762211322784424,0.3237788677215576,0.8771795630455017
18,0,400,6.110358238220215,1.5115373134613037,0.5480366349220276,0.4519633650779724,0.9904200434684753
18,1,400,6.02842378616333,1.3603532314300537,0.536752462387085,0.46324753761291504,0.9276597499847412
18,2,400,5.125504016876221,1.2109179496765137,0.5964615345001221,0.40353846549987793,0.8762547373771667
18,3,400,4.830079078674316,1.9814629554748535,0.368624210357666,0.631375789642334,1.578856348991394
18,4,400,6.668759346008301,2.422142744064331,0.43481799960136414,0.5651820003986359,1.7697126865386963
19,0,400,5.475627422332764,1.420608401298523,0.6025823354721069,0.39741766452789307,1.0730969905853271
19,1,400,5.318662643432617,1.429430603981018,0.47551125288009644,0.5244887471199036,1.1183768510818481
19,2,400,4.936293125152588,1.3943297863006592,0.5205379724502563,0.47946202754974365,1.1314928531646729
19,3,400,6.572857856750488,1.6174159049987793,0.5535925626754761,0.4464074373245239,1.3111845254898071
19,4,400,6.844758033752441,1.8063737154006958,0.5604572892189026,0.4395427107810974,1.2816144227981567
20,0,400,5.535125255584717,1.310043215751648,0.6481679081916809,0.3518320918083191,1.0372251272201538
20,1,400,6.740380764007568,1.5966854095458984,0.5986288785934448,0.4013711214065552,1.1596626043319702
20,2,400,7.092037677764893,1.7366068363189697,0.5185996294021606,0.48140037059783936,1.4429681301116943
20,3,400,6.726398944854736,1.8201937675476074,0.4995889365673065,0.5004110634326935,1.4514330625534058
20,4,400,5.711802959442139,1.1284669637680054,0.6766200065612793,0.3233799934387207,1.2226476669311523
