task_idx,accuracy,num_samples,nc1,nc2,nc3,nc4,isotropy,equinormity
0,0.9945,2000,0.5932602286338806,0.2614770233631134,0.3988111615180969,0.8395,0.2005038559436798,0.16783453524112701
1,0.9895,2000,0.8420462608337402,0.19322623312473297,0.28498703241348267,0.7625,0.13468943536281586,0.13854651153087616
2,0.993,2000,0.6313187479972839,0.27996835112571716,0.33752819895744324,0.842,0.19158011674880981,0.20415517687797546
3,0.991,2000,0.5850744247436523,0.23452244699001312,0.3004145622253418,0.8385,0.10800982266664505,0.20816977322101593
4,0.9895,2000,0.7083448767662048,0.22314144670963287,0.28585493564605713,0.8305,0.15758992731571198,0.15797950327396393
5,0.9925,2000,0.545662522315979,0.349659264087677,0.45113667845726013,0.867,0.32971861958503723,0.11639262735843658
6,0.991,2000,0.590752899646759,0.3344498574733734,0.455853134393692,0.844,0.2890976667404175,0.16816431283950806
7,0.9945,2000,0.7422064542770386,0.44475939869880676,0.42520102858543396,0.799,0.2850566804409027,0.34139949083328247
8,0.993,2000,0.6852966547012329,0.3543519675731659,0.41980525851249695,0.7685,0.32822373509407043,0.13354584574699402
9,0.9925,2000,0.6991527676582336,0.25350072979927063,0.4571819305419922,0.8145,0.20964272320270538,0.14252206683158875
10,0.987,2000,0.8128942847251892,0.14632229506969452,0.37113967537879944,0.7905,0.11927604675292969,0.08475516736507416
11,0.988,2000,0.8643510937690735,0.36930984258651733,0.36449727416038513,0.785,0.22271095216274261,0.2946007251739502
12,0.993,2000,0.5191263556480408,0.21866543591022491,0.3756498396396637,0.8755,0.1496201902627945,0.15946276485919952
13,0.992,2000,0.7353582382202148,0.21582458913326263,0.3529735207557678,0.824,0.17057164013385773,0.13223302364349365
14,0.9935,2000,0.6499246954917908,0.3883477449417114,0.43395280838012695,0.7685,0.3213955760002136,0.21798817813396454
15,0.995,2000,0.7483269572257996,0.2782304883003235,0.3500328063964844,0.787,0.15621957182884216,0.23023392260074615
16,0.9945,2000,0.5211891531944275,0.3622770309448242,0.4363757073879242,0.8805,0.22686487436294556,0.2824481725692749
17,0.9955,2000,0.4932764172554016,0.215742290019989,0.36434370279312134,0.8925,0.11411761492490768,0.18308988213539124
18,0.9875,2000,0.6507941484451294,0.413362056016922,0.4818461537361145,0.818,0.2975236475467682,0.28696319460868835
19,0.9875,2000,0.6081016659736633,0.47533145546913147,0.44000616669654846,0.8405,0.4544661045074463,0.13928593695163727
20,0.9925,2000,0.7119386792182922,0.2520628571510315,0.3771032392978668,0.821,0.23880673944950104,0.08066617697477341
21,0.994,2000,0.525749683380127,0.43162649869918823,0.4439150393009186,0.8865,0.4259130656719208,0.06999649107456207
22,0.996,2000,0.5356731414794922,0.44362401962280273,0.4818260669708252,0.812,0.26509764790534973,0.3557042181491852
23,0.994,2000,0.6839706301689148,0.3552182912826538,0.421528160572052,0.802,0.2378116101026535,0.2638667821884155
24,0.991,2000,0.5901086926460266,0.30664345622062683,0.3678770959377289,0.8605,0.20433461666107178,0.22864288091659546
25,0.991,2000,0.7431585788726807,0.25960591435432434,0.32253900170326233,0.792,0.18051646649837494,0.18657177686691284
26,0.99,2000,0.9573456048965454,0.282073438167572,0.3006269633769989,0.751,0.2612057030200958,0.10647539049386978
27,0.9915,2000,0.7131132483482361,0.23035575449466705,0.40970030426979065,0.817,0.12722145020961761,0.1920377016067505
28,0.9925,2000,0.6159780621528625,0.28570082783699036,0.4492594301700592,0.8435,0.2413657158613205,0.1528645008802414
29,0.9925,2000,0.5793069005012512,0.28948327898979187,0.3475789725780487,0.838,0.22224676609039307,0.18549108505249023
