task_idx,loss_pre,loss_post,delta_norm_total,P_n
0,4.006910,4.173865,95.292565,-0.001752
1,6.352910,2.277068,309.231174,0.013181
2,4.943295,2.814279,214.187510,0.009940
3,5.425968,2.377823,352.268001,0.008653
4,5.759622,1.514924,487.007688,0.008716
5,4.227479,1.837241,232.871688,0.010264
6,4.088341,1.188849,452.773993,0.006404
7,5.649907,1.030523,467.767002,0.009875
8,4.821647,1.026394,421.519811,0.009004
9,6.398096,0.960999,555.574453,0.009786
10,4.952807,1.205867,446.672756,0.008389
11,4.061901,1.417931,523.591807,0.005050
12,6.923773,0.895116,269.467236,0.022373
13,3.909716,1.154173,433.916631,0.006350
14,5.814213,1.611693,765.014765,0.005493
15,5.507172,1.255661,445.502932,0.009543
16,4.650691,0.708994,446.810083,0.008822
17,6.011123,0.883622,488.124523,0.010504
18,6.380761,0.859590,874.745210,0.006312
19,4.929819,1.021207,688.743340,0.005675
20,4.367428,1.079762,957.167729,0.003435
21,5.093434,1.387649,535.773163,0.006917
22,6.449627,0.838965,747.662792,0.007504
23,3.636401,1.203758,500.007057,0.004865
24,5.316868,0.932195,703.912313,0.006229
25,5.255457,1.296591,358.589304,0.011040
26,4.749218,1.525271,621.979473,0.005183
27,4.863152,0.805696,230.177948,0.017627
28,5.438042,0.821821,402.377623,0.011472
29,5.077456,1.199796,428.091102,0.009058
