task,slot,n_samples,mu_norm,centered_norm_mtk,"cos(W_k, m_tk)",nc3_sub,dist_to_slot_center
0,0,400,2.3584256172180176,0.863273561000824,0.8837920427322388,0.11620795726776123,0.25268542766571045
0,1,400,3.0030691623687744,1.3384593725204468,0.681868314743042,0.318131685256958,0.971274733543396
0,2,400,2.7450151443481445,1.3523845672607422,0.47288525104522705,0.527114748954773,1.1500227451324463
0,3,400,2.261843681335449,0.8481199145317078,0.788821816444397,0.21117818355560303,0.5354743003845215
0,4,400,2.026991605758667,0.7657859921455383,0.8003023862838745,0.1996976137161255,0.3512330949306488
1,0,400,2.381054401397705,0.8623337149620056,0.8464056849479675,0.15359431505203247,0.41318851709365845
1,1,400,1.6194602251052856,0.6624840497970581,0.4360385239124298,0.5639614760875702,0.7477360963821411
1,2,400,2.203622341156006,0.6494920253753662,0.865546703338623,0.13445329666137695,0.3528110384941101
1,3,400,1.8811036348342896,0.5933442711830139,0.9071916937828064,0.0928083062171936,0.18679623305797577
1,4,400,2.4617631435394287,0.8115476369857788,0.8788995742797852,0.12110042572021484,0.38432809710502625
2,0,400,2.359496593475342,0.800162672996521,0.8781453371047974,0.12185466289520264,0.3101668059825897
2,1,400,2.050008535385132,0.7938225865364075,0.70219886302948,0.29780113697052,0.635301947593689
2,2,400,2.5516841411590576,0.9172745943069458,0.7980237603187561,0.2019762396812439,0.5508551001548767
2,3,400,2.222257375717163,0.8518781661987305,0.7501940131187439,0.2498059868812561,0.5376119613647461
2,4,400,2.958653688430786,1.325452446937561,0.7135879397392273,0.2864120602607727,1.0199953317642212
3,0,400,2.5477190017700195,0.967412531375885,0.7922548651695251,0.20774513483047485,0.4346398711204529
3,1,400,1.384667158126831,1.0316704511642456,0.1949710249900818,0.8050289750099182,1.1162915229797363
3,2,400,2.2662317752838135,0.9781825542449951,0.6212339401245117,0.3787660598754883,0.6999422311782837
3,3,400,1.9631017446517944,0.5369806885719299,0.8833155632019043,0.1166844367980957,0.3092655837535858
3,4,400,2.267670154571533,0.804948091506958,0.8172891139984131,0.18271088600158691,0.5299180150032043
4,0,400,2.235039234161377,0.7947263717651367,0.8107271194458008,0.18927288055419922,0.40786758065223694
4,1,400,1.9402629137039185,0.5763046145439148,0.777560830116272,0.22243916988372803,0.48262980580329895
4,2,400,2.242844820022583,0.7514999508857727,0.8466812968254089,0.15331870317459106,0.33356335759162903
4,3,400,2.1250834465026855,0.9977709650993347,0.6826736330986023,0.3173263669013977,0.7242558002471924
4,4,400,2.5299229621887207,0.9073438048362732,0.7774856090545654,0.22251439094543457,0.604918897151947
5,0,400,2.048412322998047,0.6909621953964233,0.7973015308380127,0.2026984691619873,0.45841217041015625
5,1,400,1.9867547750473022,0.9123449325561523,0.5092043876647949,0.4907956123352051,0.7690695524215698
5,2,400,2.4045052528381348,1.0077251195907593,0.6877736449241638,0.3122263550758362,0.6745157241821289
5,3,400,2.2731504440307617,1.0474566221237183,0.6435146331787109,0.35648536682128906,0.7786130309104919
5,4,400,2.4009456634521484,0.8950144648551941,0.7339863777160645,0.26601362228393555,0.691182553768158
6,0,400,2.1887218952178955,0.8933013081550598,0.7021732330322266,0.29782676696777344,0.6445412635803223
6,1,400,2.789649724960327,1.3754960298538208,0.6614059805870056,0.3385940194129944,0.9752703309059143
6,2,400,2.969522714614868,1.3039535284042358,0.6023880839347839,0.39761191606521606,1.06649911403656
6,3,400,1.833111047744751,0.7139987349510193,0.78536057472229,0.21463942527770996,0.3671783208847046
6,4,400,2.095632314682007,0.9095680713653564,0.6651512384414673,0.3348487615585327,0.5889296531677246
7,0,400,2.5586719512939453,0.9908474087715149,0.8462893962860107,0.15371060371398926,0.4397166073322296
7,1,400,1.8947956562042236,0.7141424417495728,0.5182650685310364,0.4817349314689636,0.7564166188240051
7,2,400,1.6770521402359009,0.8471513986587524,0.6579077839851379,0.34209221601486206,0.600985586643219
7,3,400,1.8381437063217163,0.6041868329048157,0.8351615071296692,0.1648384928703308,0.28966331481933594
7,4,400,2.8947479724884033,1.5776911973953247,0.6482862830162048,0.35171371698379517,1.1503174304962158
8,0,400,2.3640122413635254,0.8059157729148865,0.8199695348739624,0.1800304651260376,0.39970558881759644
8,1,400,2.0748517513275146,1.287063479423523,0.6191648244857788,0.3808351755142212,1.0592079162597656
8,2,400,2.236875295639038,0.9264063835144043,0.7897524833679199,0.21024751663208008,0.5982550978660583
8,3,400,1.710505723953247,0.7442942261695862,0.6826397180557251,0.3173602819442749,0.47418785095214844
8,4,400,1.8489348888397217,0.8131588101387024,0.6296942234039307,0.37030577659606934,0.5661342740058899
9,0,400,2.4648289680480957,0.9486090540885925,0.8609284162521362,0.13907158374786377,0.4244896471500397
9,1,400,2.259726047515869,0.8401501774787903,0.7738993167877197,0.22610068321228027,0.4822300970554352
9,2,400,2.1035382747650146,1.0392224788665771,0.6057908535003662,0.3942091464996338,0.7729731798171997
9,3,400,1.6421489715576172,0.9388623237609863,0.6159279942512512,0.3840720057487488,0.6742554306983948
9,4,400,2.4981908798217773,1.3596723079681396,0.6594061255455017,0.3405938744544983,0.9484344124794006
10,0,400,2.2704062461853027,0.7156332731246948,0.8961580395698547,0.10384196043014526,0.27859970927238464
10,1,400,2.402433156967163,0.8393934369087219,0.8318633437156677,0.16813665628433228,0.47682130336761475
10,2,400,2.1871449947357178,1.1656510829925537,0.7844648361206055,0.21553516387939453,0.7246370315551758
10,3,400,2.0980591773986816,1.1540234088897705,0.645002007484436,0.35499799251556396,0.8833931088447571
10,4,400,1.8481595516204834,0.7684656381607056,0.5883997678756714,0.4116002321243286,0.6773077845573425
11,0,400,2.8515725135803223,1.3699580430984497,0.7921590805053711,0.2078409194946289,0.8192597031593323
11,1,400,2.232060194015503,0.740074872970581,0.8360390067100525,0.1639609932899475,0.4072902500629425
11,2,400,2.201002359390259,0.6522070169448853,0.7946358919143677,0.20536410808563232,0.3973957896232605
11,3,400,1.8169617652893066,0.6118444204330444,0.7252999544143677,0.2747000455856323,0.40286320447921753
11,4,400,2.273994207382202,0.8500860333442688,0.8690937757492065,0.13090622425079346,0.32538536190986633
12,0,400,2.5121073722839355,1.1828044652938843,0.6071773767471313,0.39282262325286865,0.9858325123786926
12,1,400,2.078293561935425,0.6315521597862244,0.8563843965530396,0.14361560344696045,0.3536233603954315
12,2,400,2.0588555335998535,0.6167504191398621,0.8305987119674683,0.16940128803253174,0.34572818875312805
12,3,400,2.1386001110076904,1.003890037536621,0.6535235643386841,0.3464764356613159,0.7080523371696472
12,4,400,2.0574731826782227,0.9570356607437134,0.5439401865005493,0.4560598134994507,0.8892643451690674
13,0,400,2.0125560760498047,0.6796743273735046,0.8089576363563538,0.19104236364364624,0.5005984902381897
13,1,400,2.4806571006774902,0.9465948939323425,0.7732917070388794,0.2267082929611206,0.5881644487380981
13,2,400,2.409003734588623,0.7356137037277222,0.8083572387695312,0.19164276123046875,0.43152445554733276
13,3,400,1.7943986654281616,0.7950370907783508,0.6513924598693848,0.34860754013061523,0.5397977828979492
13,4,400,2.045970916748047,0.6372619271278381,0.8855477571487427,0.11445224285125732,0.30978211760520935
14,0,400,2.120436191558838,1.0649096965789795,0.8490105867385864,0.15098941326141357,0.5717922449111938
14,1,400,2.1087605953216553,1.2800896167755127,0.5979514122009277,0.40204858779907227,1.084012746810913
14,2,400,1.5480520725250244,1.2610985040664673,0.4036023020744324,0.5963976979255676,1.1510745286941528
14,3,400,2.312962770462036,0.8903838992118835,0.5965719223022461,0.4034280776977539,0.750799298286438
14,4,400,1.9565829038619995,0.5901492834091187,0.8368964195251465,0.16310358047485352,0.35174068808555603
15,0,400,2.2666196823120117,0.8022933602333069,0.8868918418884277,0.11310815811157227,0.2550601661205292
15,1,400,2.602374792098999,1.8234654664993286,0.6020007133483887,0.39799928665161133,1.5570729970932007
15,2,400,1.9816856384277344,0.7175895571708679,0.8571548461914062,0.14284515380859375,0.3129907548427582
15,3,400,2.1435346603393555,0.7310649752616882,0.7875216603279114,0.21247833967208862,0.4900060296058655
15,4,400,2.696523666381836,1.2598631381988525,0.5928254127502441,0.40717458724975586,1.1136648654937744
16,0,400,2.3830907344818115,0.8008404970169067,0.8287604451179504,0.17123955488204956,0.34344232082366943
16,1,400,1.787774920463562,0.9095566272735596,0.5342089533805847,0.4657910466194153,0.7861091494560242
16,2,400,2.4612693786621094,0.8283542394638062,0.7853893041610718,0.21461069583892822,0.5189125537872314
16,3,400,3.084320545196533,1.770223617553711,0.40661436319351196,0.593385636806488,1.6583138704299927
16,4,400,2.7178776264190674,1.4733525514602661,0.6697089672088623,0.3302910327911377,1.0301227569580078
17,0,400,2.326200008392334,0.8095973134040833,0.832665205001831,0.16733479499816895,0.38019904494285583
17,1,400,2.058434009552002,0.8517536520957947,0.6399108171463013,0.36008918285369873,0.6912863850593567
17,2,400,1.702539324760437,1.1713321208953857,0.6594778299331665,0.3405221700668335,0.882807195186615
17,3,400,2.5435378551483154,0.9959011673927307,0.5161627531051636,0.4838372468948364,0.9117347002029419
17,4,400,2.0699853897094727,0.6751232743263245,0.6521208882331848,0.3478791117668152,0.5673931837081909
18,0,400,2.529752492904663,0.9300574064254761,0.7234205007553101,0.27657949924468994,0.5239105224609375
18,1,400,2.5137460231781006,1.1462897062301636,0.6719021797180176,0.3280978202819824,0.7885684967041016
18,2,400,1.8696165084838867,0.6049244999885559,0.8390673398971558,0.16093266010284424,0.3398871123790741
18,3,400,1.4753973484039307,1.2688709497451782,0.534753143787384,0.46524685621261597,0.9871352910995483
18,4,400,2.3914883136749268,1.2750933170318604,0.6177842617034912,0.3822157382965088,0.9146685004234314
19,0,400,2.135699987411499,1.0376081466674805,0.8644306659698486,0.13556933403015137,0.5441408157348633
19,1,400,1.9940645694732666,0.8368381857872009,0.6340469121932983,0.36595308780670166,0.6310911774635315
19,2,400,1.7825323343276978,0.6612231135368347,0.767524003982544,0.23247599601745605,0.45606160163879395
19,3,400,2.492698907852173,1.0974011421203613,0.6105716228485107,0.38942837715148926,0.8940783143043518
19,4,400,2.6403591632843018,1.18509042263031,0.5945137739181519,0.40548622608184814,0.999426543712616
20,0,400,1.938299536705017,0.8682031035423279,0.6880374550819397,0.3119625449180603,0.7249932289123535
20,1,400,2.4529170989990234,0.930537223815918,0.8417379856109619,0.15826201438903809,0.4078897535800934
20,2,400,2.739006996154785,1.0411752462387085,0.6524674296379089,0.34753257036209106,0.7756597995758057
20,3,400,2.3658270835876465,1.0893574953079224,0.5855627059936523,0.41443729400634766,0.8942793011665344
20,4,400,2.1675567626953125,0.6994882822036743,0.7482712268829346,0.25172877311706543,0.5649004578590393
21,0,400,2.5430209636688232,1.045561671257019,0.6608409881591797,0.3391590118408203,0.7246392965316772
21,1,400,2.361654043197632,0.9312695860862732,0.7313604354858398,0.26863956451416016,0.539797842502594
21,2,400,1.945016622543335,0.664291501045227,0.8424396514892578,0.1575603485107422,0.3377343714237213
21,3,400,2.367492198944092,1.240688443183899,0.5739516019821167,0.4260483980178833,1.003238320350647
21,4,400,2.5777688026428223,1.3251172304153442,0.6969165802001953,0.3030834197998047,0.8766859173774719
22,0,400,2.0299370288848877,0.8447598814964294,0.6938092708587646,0.30619072914123535,0.6367757320404053
22,1,400,3.649592161178589,2.4919025897979736,0.5383049249649048,0.4616950750350952,2.093472957611084
22,2,400,2.291602611541748,0.7039618492126465,0.8359677195549011,0.16403228044509888,0.383483350276947
22,3,400,1.4165593385696411,1.5561257600784302,0.4768040180206299,0.5231959819793701,1.3067193031311035
22,4,400,2.188105344772339,0.7623976469039917,0.7467095851898193,0.25329041481018066,0.45355653762817383
23,0,400,1.7801562547683716,0.6600213050842285,0.6601288914680481,0.3398711085319519,0.6589974761009216
23,1,400,2.2287919521331787,1.2858487367630005,0.45656663179397583,0.5434333682060242,1.1847686767578125
23,2,400,1.6620172262191772,0.8326098322868347,0.6446270942687988,0.35537290573120117,0.6218742728233337
23,3,400,2.111238956451416,0.579237699508667,0.8166466951370239,0.18335330486297607,0.42478182911872864
23,4,400,1.4105556011199951,1.0799286365509033,0.14362621307373047,0.8563737869262695,1.155712366104126
24,0,400,2.3648793697357178,0.7292910218238831,0.8782845735549927,0.12171542644500732,0.2658365070819855
24,1,400,2.5185720920562744,0.9577064514160156,0.7162079811096191,0.28379201889038086,0.6091188192367554
24,2,400,2.4770286083221436,0.9503862261772156,0.5991684198379517,0.40083158016204834,0.7815335392951965
24,3,400,1.770932912826538,0.7663455009460449,0.6964863538742065,0.30351364612579346,0.49872347712516785
24,4,400,2.092586040496826,0.8927826881408691,0.6863813996315002,0.31361860036849976,0.5777059197425842
25,0,400,2.7706735134124756,1.0829209089279175,0.779938817024231,0.22006118297576904,0.5307060480117798
25,1,400,2.164339780807495,0.7432158589363098,0.8779070377349854,0.12209296226501465,0.2658385634422302
25,2,400,2.259028196334839,0.657230019569397,0.7774453163146973,0.22255468368530273,0.4124949872493744
25,3,400,1.6024249792099,1.062903881072998,0.6098598837852478,0.3901401162147522,0.763081967830658
25,4,400,2.1537201404571533,0.6908109188079834,0.867071270942688,0.132928729057312,0.3419581651687622
26,0,400,2.2935967445373535,0.7721759080886841,0.8593940734863281,0.14060592651367188,0.32565465569496155
26,1,400,1.9436951875686646,0.5800471305847168,0.7774659395217896,0.22253406047821045,0.4690873622894287
26,2,400,1.716152548789978,0.6494423151016235,0.7387577295303345,0.2612422704696655,0.4492975175380707
26,3,400,1.9936792850494385,0.6882238984107971,0.7542314529418945,0.24576854705810547,0.4076950252056122
26,4,400,2.2849009037017822,0.7439534664154053,0.6939307451248169,0.3060692548751831,0.5236222743988037
27,0,400,2.4683377742767334,0.9002569317817688,0.8503316640853882,0.14966833591461182,0.37345626950263977
27,1,400,2.962805986404419,1.4971308708190918,0.6965699791908264,0.3034300208091736,1.080163836479187
27,2,400,1.7742838859558105,0.6107387542724609,0.6253353953361511,0.3746646046638489,0.5525686144828796
27,3,400,2.316634178161621,1.2939809560775757,0.5634095668792725,0.43659043312072754,1.0720629692077637
27,4,400,2.3076488971710205,0.7519915103912354,0.7654829621315002,0.23451703786849976,0.5630069971084595
28,0,400,3.189366102218628,1.79863703250885,0.7717810869216919,0.2282189130783081,1.2063214778900146
28,1,400,3.5073461532592773,2.0993001461029053,0.5860716104507446,0.41392838954925537,1.6825535297393799
28,2,400,2.4801836013793945,0.8945189714431763,0.8101924657821655,0.18980753421783447,0.5249909162521362
28,3,400,2.2491517066955566,0.9192147850990295,0.600793182849884,0.39920681715011597,0.7586983442306519
28,4,400,2.048116683959961,0.6352466344833374,0.7342945337295532,0.2657054662704468,0.4199979603290558
29,0,400,2.0561647415161133,0.7790086269378662,0.8988558053970337,0.10114419460296631,0.3912562429904938
29,1,400,2.5006017684936523,0.8767746090888977,0.8322632908821106,0.1677367091178894,0.4494420886039734
29,2,400,2.2013940811157227,0.5892532467842102,0.9360422492027283,0.06395775079727173,0.200654074549675
29,3,400,1.6536805629730225,1.021965503692627,0.6108700633049011,0.3891299366950989,0.7097955942153931
29,4,400,2.268761157989502,0.6847231388092041,0.6624497175216675,0.3375502824783325,0.5528197288513184
