task_idx,loss_pre,loss_post,delta_norm_total,P_n
0,4.015297,4.513079,94.384124,-0.005274
1,5.169046,1.916444,89.091205,0.036509
2,3.899515,2.937964,80.105487,0.012004
3,4.053903,1.670776,80.798424,0.029495
4,3.852300,4.110485,80.376186,-0.003212
5,3.457205,2.719853,80.286658,0.009184
6,3.521714,1.457204,80.095634,0.025776
7,4.828761,1.969256,80.949648,0.035324
8,4.056982,2.876745,80.336422,0.014691
9,5.122978,3.183100,80.385871,0.024132
10,3.815348,2.025210,80.987750,0.022104
11,3.443816,1.233697,80.163047,0.027570
12,5.057389,1.591392,80.850394,0.042869
13,2.952019,1.769744,80.028682,0.014773
14,4.653622,1.605515,80.619102,0.037809
